レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2019/11/07 17:05:19,Microsoft-Windows-Security-Auditing,4672,特殊なログオン,"新しいログオンに特権が割り当てられました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3e7

特権:		SeAssignPrimaryTokenPrivilege
			SeTcbPrivilege
			SeSecurityPrivilege
			SeTakeOwnershipPrivilege
			SeLoadDriverPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeDebugPrivilege
			SeAuditPrivilege
			SeSystemEnvironmentPrivilege
			SeImpersonatePrivilege"
情報,2019/11/07 17:05:19,Microsoft-Windows-Security-Auditing,4624,ログオン,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		SYSTEM
	アカウント名:		WIN7_64JP_03$
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x3e7

ログオン タイプ:			5

新しいログオン:
	セキュリティ ID:		SYSTEM
	アカウント名:		SYSTEM
	アカウント ドメイン:		NT AUTHORITY
	ログオン ID:		0x3e7
	ログオン GUID:		{00000000-0000-0000-0000-000000000000}

プロセス情報:
	プロセス ID:		0x1f0
	プロセス名:		C:\Windows\System32\services.exe

ネットワーク情報:
	ワークステーション名:	
	ソース ネットワーク アドレス:	-
	ソース ポート:		-

詳細な認証情報:
	ログオン プロセス:		Advapi  
	認証パッケージ:	Negotiate
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
情報,2019/11/07 16:28:49,Microsoft-Windows-Security-Auditing,4634,ログオフ,"アカウントがログオフしました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37173d9

ログオン タイプ:			3

このイベントは、ログオン セッションが破棄された場合に生成されます。これは、ログオン ID の値を使用して、ログオン イベントに関連付けられる場合があります。ログオン ID は、同一コンピューターが次に再起動するまでの間のみ一意です。"
情報,2019/11/07 16:21:19,Microsoft-Windows-Security-Auditing,4634,ログオフ,"アカウントがログオフしました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37152ed

ログオン タイプ:			3

このイベントは、ログオン セッションが破棄された場合に生成されます。これは、ログオン ID の値を使用して、ログオン イベントに関連付けられる場合があります。ログオン ID は、同一コンピューターが次に再起動するまでの間のみ一意です。"
情報,2019/11/07 16:09:55,Microsoft-Windows-Security-Auditing,4624,ログオン,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		NULL SID
	アカウント名:		-
	アカウント ドメイン:		-
	ログオン ID:		0x0

ログオン タイプ:			3

新しいログオン:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37173d9
	ログオン GUID:		{E32A0F1D-7DEC-04B0-2393-319293355BE7}

プロセス情報:
	プロセス ID:		0x0
	プロセス名:		-

ネットワーク情報:
	ワークステーション名:	
	ソース ネットワーク アドレス:	192.168.16.101
	ソース ポート:		49992

詳細な認証情報:
	ログオン プロセス:		Kerberos
	認証パッケージ:	Kerberos
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
情報,2019/11/07 16:09:55,Microsoft-Windows-Security-Auditing,4672,特殊なログオン,"新しいログオンに特権が割り当てられました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37173d9

特権:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege"
情報,2019/11/07 16:06:35,Microsoft-Windows-Security-Auditing,4634,ログオフ,"アカウントがログオフしました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\chiyoda.tokyo
	アカウント名:		chiyoda.tokyo
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x3715308

ログオン タイプ:			3

このイベントは、ログオン セッションが破棄された場合に生成されます。これは、ログオン ID の値を使用して、ログオン イベントに関連付けられる場合があります。ログオン ID は、同一コンピューターが次に再起動するまでの間のみ一意です。"
情報,2019/11/07 16:06:24,Microsoft-Windows-Security-Auditing,4624,ログオン,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		NULL SID
	アカウント名:		-
	アカウント ドメイン:		-
	ログオン ID:		0x0

ログオン タイプ:			3

新しいログオン:
	セキュリティ ID:		EXAMPLE\chiyoda.tokyo
	アカウント名:		chiyoda.tokyo
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x3715308
	ログオン GUID:		{DE00E126-4222-D6E4-B857-27FE95BBC093}

プロセス情報:
	プロセス ID:		0x0
	プロセス名:		-

ネットワーク情報:
	ワークステーション名:	
	ソース ネットワーク アドレス:	192.168.16.101
	ソース ポート:		49975

詳細な認証情報:
	ログオン プロセス:		Kerberos
	認証パッケージ:	Kerberos
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
情報,2019/11/07 16:06:04,Microsoft-Windows-Security-Auditing,4624,ログオン,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		NULL SID
	アカウント名:		-
	アカウント ドメイン:		-
	ログオン ID:		0x0

ログオン タイプ:			3

新しいログオン:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37152ed
	ログオン GUID:		{F2F199FE-1A0A-0772-FDE9-3DBEBA7213AC}

プロセス情報:
	プロセス ID:		0x0
	プロセス名:		-

ネットワーク情報:
	ワークステーション名:	
	ソース ネットワーク アドレス:	192.168.16.101
	ソース ポート:		49966

詳細な認証情報:
	ログオン プロセス:		Kerberos
	認証パッケージ:	Kerberos
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピューターで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
情報,2019/11/07 16:06:04,Microsoft-Windows-Security-Auditing,4672,特殊なログオン,"新しいログオンに特権が割り当てられました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\administrator
	アカウント名:		sysg.admin
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x37152ed

特権:		SeSecurityPrivilege
			SeBackupPrivilege
			SeRestorePrivilege
			SeTakeOwnershipPrivilege
			SeDebugPrivilege
			SeSystemEnvironmentPrivilege
			SeLoadDriverPrivilege
			SeImpersonatePrivilege"
