レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
情報,2019/11/07 17:39:40,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:39:40.334
ProcessGuid: {CC41BF7E-7140-5A01-0000-0010FEE54900}
ProcessId: 4236
Image: C:\Program Files\Internet Explorer\iexplore.exe"
情報,2019/11/07 17:39:40,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:39:40.303
ProcessGuid: {CC41BF7E-7141-5A01-0000-00107CF04900}
ProcessId: 5772
Image: C:\Program Files (x86)\Internet Explorer\iexplore.exe"
情報,2019/11/07 17:39:40,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
UtcTime: 2019-11-07 08:39:40.131
ProcessGuid: {CC41BF7E-7142-5A01-0000-001005104A00}
ProcessId: 4068
Image: C:\Windows\System32\Macromed\Flash\FlashUtil_ActiveX.exe"
情報,2019/11/07 17:39:30,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:39:30.084
ProcessGuid: {CC41BF7E-7142-5A01-0000-001005104A00}
ProcessId: 4068
Image: C:\Windows\System32\Macromed\Flash\FlashUtil_ActiveX.exe
CommandLine: ""C:\Windows\System32\Macromed\Flash\FlashUtil_ActiveX.exe"" -Embedding
CurrentDirectory: C:\Windows\system32\
User: EXAMPLE\maebashi.gunma
LogonGuid: {CC41BF7E-4CE6-5A01-0000-002031FB0200}
LogonId: 0x2FB31
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA1=7885A583868EA312E7F141E15B2BC45BF0086DB1
ParentProcessGuid: {CC41BF7E-4CCD-5A01-0000-0010D0890000}
ParentProcessId: 664
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch"
情報,2019/11/07 17:39:29,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:39:29.019
ProcessGuid: {CC41BF7E-7141-5A01-0000-00107CF04900}
ProcessId: 5772
Image: C:\Program Files (x86)\Internet Explorer\iexplore.exe
CommandLine: ""C:\Program Files (x86)\Internet Explorer\IEXPLORE.EXE"" SCODEF:4236 CREDAT:140545 /prefetch:2
CurrentDirectory: C:\Users\maebashi.gunma\Desktop\
User: EXAMPLE\maebashi.gunma
LogonGuid: {CC41BF7E-4CE6-5A01-0000-002031FB0200}
LogonId: 0x2FB31
TerminalSessionId: 1
IntegrityLevel: Low
Hashes: SHA1=B2533AE4CDAA5F2B0B38A76B8EB65F12C7B225EC
ParentProcessGuid: {CC41BF7E-7140-5A01-0000-0010FEE54900}
ParentProcessId: 4236
ParentImage: C:\Program Files\Internet Explorer\iexplore.exe
ParentCommandLine: ""C:\Program Files\Internet Explorer\iexplore.exe"" -Embedding"
情報,2019/11/07 17:39:28,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
UtcTime: 2019-11-07 08:39:28.854
ProcessGuid: {CC41BF7E-7140-5A01-0000-0010FEE54900}
ProcessId: 4236
Image: C:\Program Files\Internet Explorer\iexplore.exe
CommandLine: ""C:\Program Files\Internet Explorer\iexplore.exe"" -Embedding
CurrentDirectory: C:\Windows\system32\
User: EXAMPLE\maebashi.gunma
LogonGuid: {CC41BF7E-4CE6-5A01-0000-002031FB0200}
LogonId: 0x2FB31
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA1=F0FEB5350BD497A9E9BF77ED072315E64ABFFA33
ParentProcessGuid: {CC41BF7E-4CCD-5A01-0000-0010D0890000}
ParentProcessId: 664
ParentImage: C:\Windows\System32\svchost.exe
ParentCommandLine: C:\Windows\system32\svchost.exe -k DcomLaunch"
情報,2019/11/07 17:38:20,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:38:20.480
ProcessGuid: {CC41BF7E-6FE9-5A01-0000-001033274300}
ProcessId: 1164
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_custom_stream.db
CreationUtcTime: 2019-11-07 08:38:20.480
PreviousCreationUtcTime: 2019-11-07 08:38:20.480"
情報,2019/11/07 17:38:20,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:38:20.480
ProcessGuid: {CC41BF7E-6FE9-5A01-0000-001033274300}
ProcessId: 1164
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide_alternate.db
CreationUtcTime: 2019-11-07 08:38:20.480
PreviousCreationUtcTime: 2019-11-07 08:38:20.480"
情報,2019/11/07 17:38:20,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:38:20.480
ProcessGuid: {CC41BF7E-6FE9-5A01-0000-001033274300}
ProcessId: 1164
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_exif.db
CreationUtcTime: 2019-11-07 08:38:20.480
PreviousCreationUtcTime: 2019-11-07 08:38:20.480"
情報,2019/11/07 17:38:20,Microsoft-Windows-Sysmon,2,File creation time changed (rule: FileCreateTime),"File creation time changed:
UtcTime: 2019-11-07 08:38:20.480
ProcessGuid: {CC41BF7E-6FE9-5A01-0000-001033274300}
ProcessId: 1164
Image: C:\Windows\system32\mmc.exe
TargetFilename: C:\Users\administrator\AppData\Local\Microsoft\Windows\Explorer\thumbcache_wide.db
CreationUtcTime: 2019-11-07 08:38:20.480
PreviousCreationUtcTime: 2019-11-07 08:38:20.480"
