レベル,日付と時刻,ソース,イベント ID,タスクのカテゴリ
警告,2019/11/07 17:07:03,Microsoft-Windows-TaskScheduler,153,実行されなかったタスクの起動が拒否されました,"タスク スケジューラは、スケジュールに間に合わなかったため、タスク ""\Adobe Flash Player Updater"" を起動しませんでした。スケジュールに間に合わなかった場合は可能なときにタスクを起動するという構成オプションの使用を検討してください。"
警告,2019/11/07 17:07:03,Microsoft-Windows-TaskScheduler,153,実行されなかったタスクの起動が拒否されました,"タスク スケジューラは、スケジュールに間に合わなかったため、タスク ""\GoogleUpdateTaskMachineUA"" を起動しませんでした。スケジュールに間に合わなかった場合は可能なときにタスクを起動するという構成オプションの使用を検討してください。"
情報,2019/11/07 17:00:25,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""NT AUTHORITY\NETWORK SERVICE"" の ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}"" タスクの ""{48CF5E70-2792-4D3F-888F-F5B3B3E3A735}"" インスタンスを正常に完了しました。"
情報,2019/11/07 17:00:25,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}""、インスタンス ""{48CF5E70-2792-4D3F-888F-F5B3B3E3A735}""、操作 ""Group Policy Background Processing"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 17:00:20,Microsoft-Windows-TaskScheduler,140,タスクの登録が更新されました,"ユーザー ""S-1-5-20"" はタスク スケジューラのタスク ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}"" を更新しました"
情報,2019/11/07 17:00:20,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}"" のインスタンス ""{48CF5E70-2792-4D3F-888F-F5B3B3E3A735}"" で操作 ""Group Policy Background Processing"" を開始しました。"
情報,2019/11/07 17:00:20,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""NT AUTHORITY\NETWORK SERVICE"" の ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}"" タスクの ""{48CF5E70-2792-4D3F-888F-F5B3B3E3A735}"" インスタンスを開始しました。"
情報,2019/11/07 17:00:20,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 3604 でタスク ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}""、インスタンス ""gpupdate.exe"" を起動しました。"
情報,2019/11/07 17:00:20,Microsoft-Windows-TaskScheduler,107,スケジューラによってトリガーされるタスク,"タスク スケジューラは、時間による起動条件で、タスク ""\Microsoft\Windows\GroupPolicy\{3E0A038B-D834-4930-9981-E89C9BFF83AA}"" の ""{48CF5E70-2792-4D3F-888F-F5B3B3E3A735}"" インスタンスを起動しました。"
情報,2019/11/07 16:35:43,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""NT AUTHORITY\NETWORK SERVICE"" の ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}"" タスクの ""{AD82979D-3BBE-4ED1-96BA-E3DE3BF45A46}"" インスタンスを正常に完了しました。"
情報,2019/11/07 16:35:43,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}""、インスタンス ""{AD82979D-3BBE-4ED1-96BA-E3DE3BF45A46}""、操作 ""Group Policy Background Processing"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 16:35:38,Microsoft-Windows-TaskScheduler,140,タスクの登録が更新されました,"ユーザー ""S-1-5-20"" はタスク スケジューラのタスク ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}"" を更新しました"
情報,2019/11/07 16:35:30,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}"" のインスタンス ""{AD82979D-3BBE-4ED1-96BA-E3DE3BF45A46}"" で操作 ""Group Policy Background Processing"" を開始しました。"
情報,2019/11/07 16:35:30,Microsoft-Windows-TaskScheduler,100,タスクの開始,"タスク スケジューラは、ユーザー ""NT AUTHORITY\NETWORK SERVICE"" の ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}"" タスクの ""{AD82979D-3BBE-4ED1-96BA-E3DE3BF45A46}"" インスタンスを開始しました。"
情報,2019/11/07 16:35:30,Microsoft-Windows-TaskScheduler,129,タスクのプロセスが作成されました,"タスク スケジューラは、プロセス ID 5400 でタスク ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}""、インスタンス ""gpupdate.exe"" を起動しました。"
情報,2019/11/07 16:35:30,Microsoft-Windows-TaskScheduler,107,スケジューラによってトリガーされるタスク,"タスク スケジューラは、時間による起動条件で、タスク ""\Microsoft\Windows\GroupPolicy\{A7719E0F-10DB-4640-AD8C-490CC6AD5202}"" の ""{AD82979D-3BBE-4ED1-96BA-E3DE3BF45A46}"" インスタンスを起動しました。"
警告,2019/11/07 16:07:03,Microsoft-Windows-TaskScheduler,153,実行されなかったタスクの起動が拒否されました,"タスク スケジューラは、スケジュールに間に合わなかったため、タスク ""\Adobe Flash Player Updater"" を起動しませんでした。スケジュールに間に合わなかった場合は可能なときにタスクを起動するという構成オプションの使用を検討してください。"
警告,2019/11/07 16:07:03,Microsoft-Windows-TaskScheduler,153,実行されなかったタスクの起動が拒否されました,"タスク スケジューラは、スケジュールに間に合わなかったため、タスク ""\GoogleUpdateTaskMachineUA"" を起動しませんでした。スケジュールに間に合わなかった場合は可能なときにタスクを起動するという構成オプションの使用を検討してください。"
情報,2019/11/07 15:44:17,Microsoft-Windows-TaskScheduler,140,タスクの登録が更新されました,"ユーザー ""NT AUTHORITY\SYSTEM"" はタスク スケジューラのタスク ""\Microsoft\Windows\WindowsUpdate\Scheduled Start"" を更新しました"
情報,2019/11/07 15:34:28,Microsoft-Windows-TaskScheduler,102,タスクが完了しました,"タスク スケジューラは、ユーザー ""NT AUTHORITY\SYSTEM"" の ""\Microsoft\Windows\Windows Error Reporting\QueueReporting"" タスクの ""{D9749BBF-5A6D-4567-A5E7-940F3C216A36}"" インスタンスを正常に完了しました。"
情報,2019/11/07 15:34:28,Microsoft-Windows-TaskScheduler,201,操作が完了しました,"タスク スケジューラは、タスク ""\Microsoft\Windows\Windows Error Reporting\QueueReporting""、インスタンス ""{D9749BBF-5A6D-4567-A5E7-940F3C216A36}""、操作 ""%windir%\system32\wermgr.exe"" を正常に完了しました。リターン コード: 0"
情報,2019/11/07 15:34:21,Microsoft-Windows-TaskScheduler,200,開始された操作,"タスク スケジューラは、タスク ""\Microsoft\Windows\Windows Error Reporting\QueueReporting"" のインスタンス ""{D9749BBF-5A6D-4567-A5E7-940F3C216A36}"" で操作 ""%windir%\system32\wermgr.exe"" を開始しました。"
