キーワード,日付と時刻,ソース,イベント ID,タスクのカテゴリ
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4658,その他のオブジェクト アクセス イベント,"オブジェクトに対するハンドルが閉じました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:		Security Account Manager
	ハンドル ID:		0x77c1c20

プロセス情報:
	プロセス ID:		0x23c
	プロセス名:		C:\Windows\System32\lsass.exe"
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4658,その他のオブジェクト アクセス イベント,"オブジェクトに対するハンドルが閉じました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:		Security Account Manager
	ハンドル ID:		0x77c2280

プロセス情報:
	プロセス ID:		0x23c
	プロセス名:		C:\Windows\System32\lsass.exe"
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4658,その他のオブジェクト アクセス イベント,"オブジェクトに対するハンドルが閉じました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:		Security Account Manager
	ハンドル ID:		0x77c1f50

プロセス情報:
	プロセス ID:		0x23c
	プロセス名:		C:\Windows\System32\lsass.exe"
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4661,SAM,"オブジェクトに対するハンドルが要求されました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:	Security Account Manager
	オブジェクトの種類:	SAM_USER
	オブジェクト名:	S-1-5-21-1524084746-3249201829-3114449661-500
	ハンドル ID:	0x77c1f50

プロセス情報:
	プロセス ID:	0x23c
	プロセス名:	C:\Windows\System32\lsass.exe

アクセス要求情報:
	トランザクション ID:	{00000000-0000-0000-0000-000000000000}
	アクセス:	DELETE
			READ_CONTROL
			WRITE_DAC
			WRITE_OWNER
			ReadGeneralInformation
			ReadPreferences
			WritePreferences
			ReadLogon
			ReadAccount
			WriteAccount
			SetPassword (古いパスワードなし)
			ListGroups
			
	アクセス マスク:	0xf01bf
	アクセスの確認に使用した特権:	-
	プロパティ:	---
	{bf967aba-0de6-11d0-a285-00aa003049e2}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadGeneralInformation
ReadPreferences
WritePreferences
ReadLogon
ReadAccount
WriteAccount
SetPassword (古いパスワードなし)
ListGroups
		{59ba2f42-79a2-11d0-9020-00c04fc2d3cf}
			{bf967938-0de6-11d0-a285-00aa003049e2}
			{5fd42471-1262-11d0-a060-00aa006c33ed}
			{bf9679e8-0de6-11d0-a285-00aa003049e2}
			{bf967a00-0de6-11d0-a285-00aa003049e2}
			{3e0abfd0-126a-11d0-a060-00aa006c33ed}
			{bf967a6a-0de6-11d0-a285-00aa003049e2}
			{bf967953-0de6-11d0-a285-00aa003049e2}
		{4c164200-20c0-11d0-a768-00aa006e0529}
			{bf967915-0de6-11d0-a285-00aa003049e2}
			{bf967a0a-0de6-11d0-a285-00aa003049e2}
			{bf967a68-0de6-11d0-a285-00aa003049e2}
			{bf967a6d-0de6-11d0-a285-00aa003049e2}
		{5f202010-79a5-11d0-9020-00c04fc2d4cf}
			{bf96792e-0de6-11d0-a285-00aa003049e2}
			{bf967985-0de6-11d0-a285-00aa003049e2}
			{bf967986-0de6-11d0-a285-00aa003049e2}
			{bf967996-0de6-11d0-a285-00aa003049e2}
			{bf967997-0de6-11d0-a285-00aa003049e2}
			{bf9679aa-0de6-11d0-a285-00aa003049e2}
			{bf9679ab-0de6-11d0-a285-00aa003049e2}
			{bf9679ac-0de6-11d0-a285-00aa003049e2}
			{bf967a05-0de6-11d0-a285-00aa003049e2}
			{bf9679a8-0de6-11d0-a285-00aa003049e2}
		{e48d0154-bcf8-11d1-8702-00c04fb96050}
			{bf967950-0de6-11d0-a285-00aa003049e2}
		{bc0ac240-79a9-11d0-9020-00c04fc2d4cf}
			{bf967991-0de6-11d0-a285-00aa003049e2}
		{ab721a53-1e2f-11d0-9819-00aa0040529b}
		{00299570-246d-11d0-a768-00aa006e0529}
		{7ed84960-ad10-11d0-8a92-00aa006e0529}

	制限された SID 数:	0"
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4661,SAM,"オブジェクトに対するハンドルが要求されました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:	Security Account Manager
	オブジェクトの種類:	SAM_DOMAIN
	オブジェクト名:	CN=Builtin,DC=example,DC=co,DC=jp
	ハンドル ID:	0x77c1c20

プロセス情報:
	プロセス ID:	0x23c
	プロセス名:	C:\Windows\System32\lsass.exe

アクセス要求情報:
	トランザクション ID:	{00000000-0000-0000-0000-000000000000}
	アクセス:	DELETE
			READ_CONTROL
			WRITE_DAC
			WRITE_OWNER
			ReadPasswordParameters
			WritePasswordParameters
			ReadOtherParameters
			WriteOtherParameters
			CreateUser
			CreateGlobalGroup
			CreateLocalGroup
			GetLocalGroupMembership
			ListAccounts
			
	アクセス マスク:	0xf01ff
	アクセスの確認に使用した特権:	-
	プロパティ:	---
	{19195a5a-6da0-11d0-afd3-00c04fd930c9}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadPasswordParameters
WritePasswordParameters
ReadOtherParameters
WriteOtherParameters
CreateUser
CreateGlobalGroup
CreateLocalGroup
GetLocalGroupMembership
ListAccounts
		{c7407360-20bf-11d0-a768-00aa006e0529}
			{bf9679a4-0de6-11d0-a285-00aa003049e2}
			{bf9679a5-0de6-11d0-a285-00aa003049e2}
			{bf9679a6-0de6-11d0-a285-00aa003049e2}
			{bf9679bb-0de6-11d0-a285-00aa003049e2}
			{bf9679c2-0de6-11d0-a285-00aa003049e2}
			{bf9679c3-0de6-11d0-a285-00aa003049e2}
			{bf967a09-0de6-11d0-a285-00aa003049e2}
			{bf967a0b-0de6-11d0-a285-00aa003049e2}
		{b8119fd0-04f6-4762-ab7a-4986c76b3f9a}
			{bf967a34-0de6-11d0-a285-00aa003049e2}
			{bf967a33-0de6-11d0-a285-00aa003049e2}
			{bf9679c5-0de6-11d0-a285-00aa003049e2}
			{bf967a61-0de6-11d0-a285-00aa003049e2}
			{bf967977-0de6-11d0-a285-00aa003049e2}
			{bf96795e-0de6-11d0-a285-00aa003049e2}
			{bf9679ea-0de6-11d0-a285-00aa003049e2}
		{ab721a52-1e2f-11d0-9819-00aa0040529b}

	制限された SID 数:	0"
成功の監査,2019/11/07 17:18:20,Microsoft-Windows-Security-Auditing,4661,SAM,"オブジェクトに対するハンドルが要求されました。

サブジェクト:
	セキュリティ ID:		EXAMPLE\Administrator
	アカウント名:		Administrator
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x32207

オブジェクト:
	オブジェクト サーバー:	Security Account Manager
	オブジェクトの種類:	SAM_DOMAIN
	オブジェクト名:	DC=example,DC=co,DC=jp
	ハンドル ID:	0x77c2280

プロセス情報:
	プロセス ID:	0x23c
	プロセス名:	C:\Windows\System32\lsass.exe

アクセス要求情報:
	トランザクション ID:	{00000000-0000-0000-0000-000000000000}
	アクセス:	DELETE
			READ_CONTROL
			WRITE_DAC
			WRITE_OWNER
			ReadPasswordParameters
			WritePasswordParameters
			ReadOtherParameters
			WriteOtherParameters
			CreateUser
			CreateGlobalGroup
			CreateLocalGroup
			GetLocalGroupMembership
			ListAccounts
			
	アクセス マスク:	0xf01ff
	アクセスの確認に使用した特権:	-
	プロパティ:	---
	{19195a5a-6da0-11d0-afd3-00c04fd930c9}
DELETE
READ_CONTROL
WRITE_DAC
WRITE_OWNER
ReadPasswordParameters
WritePasswordParameters
ReadOtherParameters
WriteOtherParameters
CreateUser
CreateGlobalGroup
CreateLocalGroup
GetLocalGroupMembership
ListAccounts
		{c7407360-20bf-11d0-a768-00aa006e0529}
			{bf9679a4-0de6-11d0-a285-00aa003049e2}
			{bf9679a5-0de6-11d0-a285-00aa003049e2}
			{bf9679a6-0de6-11d0-a285-00aa003049e2}
			{bf9679bb-0de6-11d0-a285-00aa003049e2}
			{bf9679c2-0de6-11d0-a285-00aa003049e2}
			{bf9679c3-0de6-11d0-a285-00aa003049e2}
			{bf967a09-0de6-11d0-a285-00aa003049e2}
			{bf967a0b-0de6-11d0-a285-00aa003049e2}
		{b8119fd0-04f6-4762-ab7a-4986c76b3f9a}
			{bf967a34-0de6-11d0-a285-00aa003049e2}
			{bf967a33-0de6-11d0-a285-00aa003049e2}
			{bf9679c5-0de6-11d0-a285-00aa003049e2}
			{bf967a61-0de6-11d0-a285-00aa003049e2}
			{bf967977-0de6-11d0-a285-00aa003049e2}
			{bf96795e-0de6-11d0-a285-00aa003049e2}
			{bf9679ea-0de6-11d0-a285-00aa003049e2}
		{ab721a52-1e2f-11d0-9819-00aa0040529b}

	制限された SID 数:	0"
成功の監査,2019/11/07 17:18:13,Microsoft-Windows-Security-Auditing,5140,ファイルの共有,"ネットワーク共有オブジェクトにアクセスしました。
	
サブジェクト:
	セキュリティ ID:		EXAMPLE\WIN10_64JP_09$
	アカウント名:		WIN10_64JP_09$
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x8c4a8

ネットワーク情報:	
	送信元アドレス:		192.168.16.109
	ソース ポート:		54631
	
共有名:			\\*\IPC$"
成功の監査,2019/11/07 17:18:13,Microsoft-Windows-Security-Auditing,4624,ログオン,"アカウントが正常にログオンしました。

サブジェクト:
	セキュリティ ID:		NULL SID
	アカウント名:		-
	アカウント ドメイン:		-
	ログオン ID:		0x0

ログオン タイプ:			3

新しいログオン:
	セキュリティ ID:		EXAMPLE\WIN10_64JP_09$
	アカウント名:		WIN10_64JP_09$
	アカウント ドメイン:		EXAMPLE
	ログオン ID:		0x8c4a8
	ログオン GUID:		{92FFBA20-3B6A-DC70-9DA6-BAB3E9CC3BC9}

プロセス情報:
	プロセス ID:		0x0
	プロセス名:		-

ネットワーク情報:
	ワークステーション名:	
	ソース ネットワーク アドレス:	192.168.16.109
	ソース ポート:		54631

詳細な認証情報:
	ログオン プロセス:		Kerberos
	認証パッケージ:	Kerberos
	移行されたサービス:	-
	パッケージ名 (NTLM のみ):	-
	キーの長さ:		0

このイベントは、ログオン セッションの作成時に生成されます。このイベントは、アクセス先のコンピュータで生成されます。

サブジェクトのフィールドは、ログオンを要求したローカル システム上のアカウントを示します。これはサーバー サービスなどのサービスまたは Winlogon.exe や Services.exe などのローカル プロセスであることが最も一般的です。

ログオン タイプのフィールドは、発生したログオンの種類を示します。最も一般的なタイプは、2 (対話型) と 3 (ネットワーク) です。

新しいログオンのフィールドは、新しいログオンを作成するアカウント、つまりログオン先のアカウントを示します。

ネットワークのフィールドは、リモート ログオン要求の送信元を示します。ワークステーション名は常に表示されるとは限らず、場合によっては空白のままであることがあります。

認証情報のフィールドは、この特定のログオン要求に関する詳細情報を示します。
	- ログオン GUID は、このイベントを KDC イベントに関連付ける場合に使用できる一意の識別子です。
	- 移行されたサービスは、このログオン要求に関与した中間サービスを示します。
	- パッケージ名は、NTLM プロトコルのうち使用されたサブプロトコルを示します。
	- キーの長さは、生成されたセッション キーの長さを示します。これは、セッション キーが要求されなかった場合は 0 になります。"
成功の監査,2019/11/07 17:18:13,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		4
	アプリケーション名:	System

ネットワーク情報:
	方向:		着信
	送信元アドレス:		192.168.16.1
	ソース ポート:		445
	宛先アドレス:	192.168.16.109
	宛先ポート:		54631
	プロトコル:		6

フィルタ情報:
	フィルタの実行時 ID:	0
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	44"
成功の監査,2019/11/07 17:18:06,Microsoft-Windows-Security-Auditing,5156,フィルタリング プラットフォームの接続,"Windows フィルタリング プラットフォームで、接続が許可されました。

アプリケーション情報:
	プロセス ID:		572
	アプリケーション名:	\device\harddiskvolume1\windows\system32\lsass.exe

ネットワーク情報:
	方向:		着信
	送信元アドレス:		fe80::4888:72d0:4f06:d1a1
	ソース ポート:		49155
	宛先アドレス:	fe80::4888:72d0:4f06:d1a1
	宛先ポート:		60294
	プロトコル:		6

フィルタ情報:
	フィルタの実行時 ID:	6
	レイヤ名:		受信/承諾
	レイヤの実行時 ID:	46"
